t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
15.378,-0.532119331269363,-2.5059234470798,-0.199941410979318,-22.844186747278,-2.75705505904964,-0.0247109149150391,-0.567905732687227,4.47730543571096,-22.5701563303955,0.31593912087476,-2783.18955850101,-2793.20321238321,-0.144963141214248
15.379,-0.307501154637916,-2.5059234470798,-0.0142816137857617,-22.7854263517642,-3.46198032142373,-0.304521392623215,0.04502939074421,-22.3237129175271,5.72824609749155,-1.6711911468191,-2777.11604319017,-2796.19708273132,-0.144963141214248
15.38,-0.258683457382915,-2.5059234470798,0.200418102596976,-22.5510591409485,-4.7524128195697,-0.00730626856270283,0.327156178929636,17.2308871558035,15.3046471311864,2.5047602699039,-2797.72912703025,-2798.05139019662,-0.144963141214248
15.381,-0.268507310276914,-2.5059234470798,-0.00468835634336998,-22.7269499021569,-3.93055665026742,0.128323315724565,-0.23590524156703,7.78728374595464,-21.7099456308877,0.515654174319284,-2798.08618135042,-2796.28985914147,-0.144963141214248
15.382,-0.36595937667103,-2.5059234470798,-0.0827588180880216,-22.7855328219562,-3.34398357737301,-0.364910956255612,0.0872655794078617,-22.7425617274927,3.62472319182671,-1.5831287584114,-2783.38630845877,-2796.25506798771,-0.144963141214248
15.383,-0.0438832639137282,-2.5059234470798,-0.00467062079427965,-22.7269499067607,-3.69598425986647,0.0266348149544025,0.0351872446018528,14.8881773253095,17.5646442504177,2.59969510147035,-2803.83190989481,-2798.05139019634,-0.144963141214248
15.384,-0.307572116387316,-2.5059234470798,-0.053535623067988,-22.7856038251566,-3.57827160789363,0.133383818450744,-0.282268359352849,10.1983483380303,-20.6877127917285,0.61377364817244,-2791.29000410587,-2801.08005169819,-0.144963141214248
15.385,-0.375830522318023,-2.5059234470798,-0.121799943662618,-22.8441512249206,-2.9919119017947,-0.385678724509026,0.0856488718147873,-23.0248468648342,0.814376366356413,-1.47592170503837,-2796.16686936042,-2801.13803695492,-0.144963141214248
15.386,-0.219660072739361,-2.5059234470798,0.024759577482576,-22.7268433881286,-3.6965529658679,0.071902068069648,0.209030325169065,13.0919493885155,18.9413509398496,2.69804774747696,-2788.15513802811,-2804.13190730284,-0.144963141214248
15.387,-0.326989169085773,-2.5059234470798,0.171141635635664,-22.6096420838203,-4.51776922831377,0.3564453780803,-0.0956977982643644,13.5669629613412,-18.6425231651821,0.8263223765403,-2797.91497225086,-2801.19602221143,-0.144963141214248
15.388,-0.190348178124371,-2.5059234470798,0.0246471884845654,-22.6682960022162,-4.04826920993589,-0.174753875085759,-0.0793788130294983,-22.8589269634219,-2.77661400290827,-1.27319688896715,-2808.88608796373,-2798.14416660754,-0.144963141214248
15.389,-0.297724584860136,-2.5059234470798,-0.0143525236567056,-22.7268433742771,-3.93112529631729,0.117060090571505,0.274121977522503,11.5940970370676,19.9384069009871,2.78616842843661,-2793.47299641811,-2801.08005169786,-0.144963141214248
15.39,-0.239177692030023,-2.5059234470798,0.0832532417983554,-22.609642090746,-4.28312584947788,0.241292677120238,-0.0769084819957641,15.5175240643212,-16.9925727724589,0.927276733382233,-2804.00311899705,-2804.13190730243,-0.144963141214248
15.391,-0.307436044890671,-2.5059234470798,0.0148114628268406,-22.668331529204,-4.1652708419066,-0.27795247935151,-0.132207111576639,-22.5215386740362,-4.89724731438339,-1.17496082948572,-2801.18991849995,-2804.18989255942,-0.144963141214248
15.392,-0.151372170017762,-2.5059234470798,-0.131671132691712,-22.7856038436253,-3.343557009661,0.164479188442682,0.114880013968669,8.77491820623866,21.2923443159579,2.89638524393036,-2804.13801101447,-2805.98621476802,-0.144963141214248
15.393,-0.434560798572339,-2.5059234470798,-0.151034869964041,-22.844115663304,-2.99219661299283,0.25321504026136,-0.384105145743092,16.3188180732112,-16.2635493574636,0.917336234388001,-2788.29003004707,-2809.01487626986,-0.144963141214248
15.394,-0.453883097432766,-2.5059234470798,0.122252914714087,-22.6683315430555,-4.16519961788824,-0.336451658083728,-0.328261973222549,-21.8172160313558,-7.43042579156094,-1.06082303989372,-2808.71487886261,-2811.16857077009,-0.144963141214248
15.395,-0.112289666041231,-2.5059234470798,-0.0828653112836672,-22.7856393798475,-3.22591524892949,0.0986845614244879,0.0986761686034003,6.58789219713604,22.0497520970338,2.99190300693842,-2818.97277592156,-2809.11345120627,-0.144963141214248
15.396,-0.39540131782201,-2.5059234470798,-0.180346740735834,-22.9027695586142,-2.52248345407814,0.238714364051038,-0.363156442081273,18.0451095776865,-14.327379263507,1.00943618344944,-2791.5442236774,-2811.16857077019,-0.144963141214248
15.397,-0.287959851321331,-2.5059234470798,0.0930120187556906,-22.7269499390808,-3.69591305433585,-0.182490194752265,-0.241390638644693,-20.7349244428327,-10.0118397504511,-0.959752097403095,-2813.86671631006,-2811.20916044978,-0.144963141214248
15.398,-0.239059320299952,-2.5059234470798,0.00523613697738866,-22.7854617125879,-3.46176785076787,-0.0214053443853558,0.23815664379661,1.91154835847688,22.9675223953656,-3.0738538293034,-2793.56119504992,-2809.11345120659,-0.144963141214248
