t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,iq_ref
2.27,0.190736844734095,0.0344197416670096,8.41849778438528,-0.290581661483129,0.191632664392667,-0.029020415112634,8.40693645403939,0.528168633519414,-1.54255679616548,998.738057707532,1000.92471224817,999.948118454723,0.45,8.1737848655428,0.171230367131587
2.28,0.0833033940005758,-0.0534549106853352,8.41828881547613,0.0614410551559802,-0.00339802954108595,0.0989208588904799,4.35330241191785,7.20556171956215,-0.536173327688043,1000.85299364145,993.844407245715,999.948118454723,0.45,8.1737848655428,0.0930652922641002
2.29,0.11260217377549,0.0148958301911338,8.53564920614934,-0.173205604196326,-0.0496238511738517,0.102169509594224,-4.84841976336122,7.0270999245785,0.583666822273848,998.727376212922,1000.86367513607,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.3,0.112588935526405,0.0344414861134865,8.59435614076637,-0.525437619513814,-0.112183660116026,0.0357394847702967,-8.59985126851168,-0.426145897325127,1.55924701647882,1003.88958996795,993.887133224185,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.31,0.171225941609919,-0.121857684969812,8.35968768790245,0.531151589713476,0.0490947989743512,-0.204346076987236,-3.61472937498698,-7.55646953253496,2.75885660179114,996.020380291757,1003.91553074058,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.32,0.132103382899521,0.0344681541924796,7.83198933055664,-0.408115671346438,0.0549367057184649,-0.124985262298148,5.17964108925195,-5.88879728481839,-2.47223888450207,1003.87585661776,996.035639569748,999.948118454723,0.45,8.1737848655428,0.0442121204719221
2.33,0.239620343802644,0.0637176784848534,8.30103400183111,-0.407901307132634,0.246128184569989,-0.0299794675716179,8.16493714184209,1.55156387096511,-1.43210680877322,998.738057707537,1000.92471224818,999.948118454723,0.45,8.1737848655428,0.181001001490023
2.34,0.102840409618554,0.0442076374759038,8.41831503722177,-0.525436698507946,0.0827372992643536,0.0753989679780415,2.99854033309783,7.88370900406901,-0.425784701400198,1000.85299364145,993.887133224169,999.948118454723,0.45,8.1737848655428,0.102835926622536
2.35,0.141909459747923,-0.0144386986037632,8.41836909082028,-0.0556690615645521,-0.101878311657497,0.0998377703934515,-5.42807668977697,6.43490642073323,0.694116809666112,998.727376212922,1000.92471224817,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.36,0.180991958865614,0.0246663304428464,8.30106148865995,-0.408007913612113,-0.182331928855253,-0.0110265475762247,-8.06296594154305,-2.01560723396207,1.76664754837187,1003.91553074058,995.937980190423,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.37,0.0734876997843112,-0.0925994628980018,8.0665550815843,0.413990587390643,0.0694246306814394,-0.0956834531323636,-2.56810936409654,-7.65803586990302,2.8693065891834,996.020380291661,1003.8544936285,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.38,0.0832627405069305,0.00521165634921016,8.06655577162747,-0.291017527700104,0.0611399552789204,-0.0567604720480576,6.42731255412785,-4.8829977011827,-2.25655460355132,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.0442121204719221
2.39,0.0149047961831661,0.0246616941819492,8.18367188604268,-0.290578898464015,0.0193358728314713,-0.0213653020346281,7.97793483024712,1.84647704534008,-1.37884537039935,998.727376212922,1000.92471224814,999.948118454723,0.45,8.1737848655428,0.0246708517550509
2.4,0.151689098414716,0.00514797481648645,8.35966112113442,-0.290744449341027,0.0489253543733224,0.14367461126457,2.1465448467939,8.08460336786731,-0.294287855298948,998.727376212922,993.844407245715,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.41,0.151638310284609,0.0344830400381196,8.30128437349545,-0.408284215494777,-0.0736030642730073,0.136988489026872,-5.76057049890931,5.99114728389794,0.716636334872162,998.727376212922,998.77010219139,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.42,0.180917548793794,0.0441935754283158,8.18411685066533,-0.525379135614185,-0.186154120097328,-0.00555654042390399,-7.74902844371755,-2.68483706022159,1.84021951219528,1000.86367513607,995.980706168868,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.43,0.122349262825868,0.00509233968679474,8.30117488620726,-0.173037750803158,-0.0452640874076221,-0.113782408256612,-2.58171364991187,-7.89140045774258,2.80457062434795,995.980706168868,1000.86367513607,999.948118454723,0.45,8.1737848655428,0.102835926622536
2.44,0.200542270206894,0.0442261442031852,8.53565093126456,-0.642918901768038,0.111981424749411,-0.172143296360642,6.53685736106233,-5.52631680016386,-2.3477985653726,1000.86367513607,995.980706168868,999.948118454723,0.45,8.1737848655428,0.190771635848458
2.45,0.0735474922227751,0.0246567705497232,8.41823050659608,-0.407949429714256,0.0774406054335232,-0.00448804816041969,8.01600575998806,2.60320557298638,-1.3052120454716,998.727376212922,1000.92471224815,999.948118454723,0.45,8.1737848655428,0.0832946579056646
2.46,0.141894899589911,-0.0339529543955646,8.41845649663806,-0.0557772798034009,-0.0020734449017642,0.145885799405074,1.78810859508889,8.22655386798743,-0.220654530371367,998.727376212922,993.844407245715,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.47,0.171220903028996,0.0343799694466471,8.18375618665318,-0.407777892297827,-0.0974593359737563,0.144914656832122,-6.10150989869761,5.4691612783064,0.790208298695791,998.727376212922,1000.92471224818,999.948118454723,0.45,8.1737848655428,0.112606560980971
2.48,0.0930937995208602,-0.0729832285252471,8.77006740235524,0.0614226350327852,-0.0631201581963371,-0.100044254130199,-8.27970451643858,-2.89211827254953,1.91385283712276,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.49,0.0637486188211731,-0.0241775496695087,8.06642017760405,-0.173205604196326,0.00939256985505243,-0.0675294005685431,-1.62531152510015,-7.90287903927167,2.91729097259246,995.980706168868,1003.91553074058,999.948118454723,0.45,8.1737848655428,0.0246708517550509
2.5,0.141932832633218,-0.0241200562037296,8.77018102991865,-0.290864180157629,0.126423953391084,-0.0688744517185393,7.06964115534186,-5.19815844348173,-2.23796218900991,1000.86367513607,995.980706168868,999.948118454723,0.45,8.1737848655428,0.181001001490023
2.51,0.10277822241686,0.0637101110345362,8.30129587426352,-0.525317197942045,0.118120936000942,-0.025880218883614,7.65345000472038,3.25763324758387,-1.23157872054385,998.727376212922,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0832946579056646
2.52,0.122382023181239,-0.0144020299950271,8.53559388746766,-0.290633928589255,0.00405166637677491,0.123159904455478,0.988409463722742,8.48315258758475,-0.150027899545057,998.727376212922,995.9379801904,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.53,0.151674557414738,0.0539633668303879,8.35974841194494,-0.407945745687659,-0.0799573615960126,0.139728438956543,-6.60960833120222,5.13467535006283,0.861571262780947,998.727376212922,998.727376212922,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.54,0.141923330214298,0.0149050835546336,8.4769397413651,-0.408062252982184,-0.134143305957786,-0.0486823031665846,-7.44428226860093,-4.07525259173437,2.02356649126565,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.55,0.0637631598211506,-0.0143823737816197,8.06636221374556,-0.0559534222539138,0.00464865221965841,-0.0651995648644413,-1.15543297543503,-7.98337677853686,2.99092429752031,995.980706168868,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.56,0.141942986427996,-0.0143724498839458,8.82874524003299,-0.290751817394224,0.125390253329475,-0.0680563228637491,7.45949226279685,-4.73151712603865,-2.16897214456734,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.190771635848458
2.57,0.171186054440265,0.180902528842641,7.53877230861668,-0.994730477721774,0.2291643980547,-0.0975400883776254,6.51518084150372,3.92109617925613,-1.1602157564684,998.727376212922,1000.86367513607,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.58,0.190746921895811,-0.0144116856786916,8.30112589294808,-0.290633928589255,4.41896196877369e-05,0.191290572020959,0.337509760178935,8.29935216344049,-0.0756416960638798,1006.83961727072,995.980706168868,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.59,0.093060330315545,0.0246510039608301,8.35972069509932,-0.290514658277178,-0.0629226074934425,0.0728604319294182,-7.06580041129424,4.47702953022424,0.971284916923994,998.727376212922,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0930652922641002
2.6,0.141933407376426,-0.0729707374420063,8.47690914932823,-0.0560766068449002,-0.0860641913957643,-0.134397825918822,-7.30139205747665,-4.30706481664912,2.09713845508894,1000.87893441408,998.672442812039,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.61,0.0246908528140162,0.0734740208998159,8.18360932187938,-0.525250194739324,-0.0751991560909888,-0.0187924687860082,-0.124724936606215,-8.19949955731527,3.06228726160458,995.980706168868,1000.82094915763,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.62,0.181071273410645,-0.00469124554927217,8.65256911750344,-0.40782094933735,0.159016015416925,-0.0867336190890273,7.69073347635613,-3.98571058351554,-2.09603395521261,1003.90027146258,998.727376212922,999.948118454723,0.45,8.1737848655428,0.190771635848458
