Motor Name,Nominal Voltage (V),Nominal Current (A),Nominal Power (W),Nominal Speed (rpm),Nominal Torque (mNm),Terminal Resistance (Ω),Terminal Inductance (mH),Torque Constant (mNm/A),Speed Constant (rpm/V),Rotor Inertia (gcm²),Number of Pole Pairs
EC-i 30 75W HT 36V,36,2.48,89.3,6890,110,0.773,0.877,42.9,223,15.5,4
EC-i 30 75W HT 48V,48,1.84,88.3,7150,104,1.37,1.46,55.4,173,15.5,4
EC-i 40 50W 12V,12,4.58,55.0,9640,43.9,0.224,0.109,8.95,1070,15.5,7
EC-i 40 50W 24V,24,2.83,67.9,10200,53.6,0.493,0.39,16.9,565,15.5,7
EC-i 40 50W HT 9V,9,5.95,53.6,6390,65.7,0.135,0.064,10.8,881,12.8,7
EC-i 40 50W HT 18V,18,2.95,53.1,6520,65.2,0.448,0.255,21.7,440,12.8,7
EC-i 40 50W HT 36V,36,1.62,58.3,6080,78.9,1.42,1.15,46.1,207,12.8,7
EC-i 40 50W HT 48V,48,1.19,57.1,6310,73.9,2.59,1.93,59.6,160,12.8,7
EC-i 40 70W 18V,18,3.98,71.6,8220,69.8,0.338,0.18,16.7,572,24.2,7
EC-i 40 70W 36V,36,2.47,88.9,8720,84.8,0.766,0.644,31.5,303,24.2,7
EC-i 40 70W HT 18V,18,4.9,88.2,6890,105,0.196,0.113,21.7,441,23,7
EC-i 40 70W HT 36V,36,2.74,98.6,6450,130,0.582,0.512,46.1,207,23,7
EC-i 40 70W HT 48V,48,1.56,74.9,4100,152,2.24,2.05,92.1,104,23,7
EC-i 40 100W HT 18V,18,5.5,99.0,3920,209,0.233,0.169,37.5,255,44,7
EC-i 40 100W HT 36V,36,2.76,99.4,3950,210,0.829,0.675,74.9,127,44,7
EC-i 40 100W HT 48V,48,2.41,116,4390,224,0.994,0.995,91,105,44,7
EC-i 40 130W HT 18V,18,7.44,134,3920,278,0.195,0.128,36.4,262,78,8
EC-i 40 130W HT 24V,24,6.05,145,3990,301,0.277,0.222,47.9,199,78,8
EC-i 40 130W HT 36V,36,4.3,155,3940,330,0.521,0.512,72.8,131,78,8
EC-i 40 130W HT 48V,48,3.31,159,3910,343,0.862,0.922,97.8,97.7,78,8
EC-i 52 180W HT 18V,18,11.5,207,4360,399,0.0604,0.0653,35,273,170,8
EC-i 52 180W HT 24V,24,9.03,217,4210,438,0.0935,0.123,48.1,198,170,8
EC-i 52 180W HT 36V,36,6.33,228,4370,448,0.162,0.261,70,136,170,8
EC-i 52 180W HT 48V,48,4.59,220,4470,423,0.284,0.45,91.9,104,170,8
EC-i 52 200W HT 24V,24,9.42,226,2970,646,0.117,0.149,68,140,264,8
EC-i 52 200W HT 36V,36,6.98,251,3300,655,0.176,0.28,93.1,103,264,8
EC-i 52 200W HT 48V,48,5.48,263,3610,627,0.236,0.424,115,83.3,264,8
EC-i 52 250W Open 18V,18,14.7,265,3770,596,0.0658,0.0826,38.2,250,170,8
EC-i 52 250W Open 24V,24,12.3,295,4140,612,0.0863,0.123,46.7,204,170,8
EC-i 52 250W Open 36V,36,8.86,319,4280,646,0.155,0.261,68,140,170,8
EC-i 52 250W Open 48V,48,6.55,314,4370,623,0.276,0.45,89.2,107,170,8
EC-i 52 420W Ventilated 18V,18,21,378,3470,904,0.0658,0.0826,38.2,250,170,8
EC-i 52 420W Ventilated 24V,24,18.3,439,3800,972,0.0863,0.123,46.7,204,170,8
EC-i 52 420W Ventilated 36V,36,13.3,479,3910,1050,0.155,0.261,68,140,170,8
EC-i 52 420W Ventilated 48V,48,9.94,477,3990,1020,0.276,0.45,89.2,107,170,8
EC 9.2 flat 0.5W 3V,3,0.418,1.25,3950,0.734,5.14,0.127,1.86,5120,0.237,4
EC 9.2 flat 0.5W 4.5V,4.5,0.27,1.22,3620,0.702,12.4,0.281,2.77,3450,0.237,4
EC 9.2 flat 0.5W 6V,6,0.222,1.33,5240,0.684,18.1,0.4,3.3,2890,0.237,4
EC 14 flat 1.5W 6V,6,0.794,4.76,9600,1.8,4.01,0.107,2.53,3770,1.1,4
EC 14 flat 1.5W 12V,12,0.402,4.82,9680,1.83,15.7,0.428,5.06,1890,1.1,4
EC 14 flat 1.5W 18V,18,0.256,4.61,9390,1.74,38,0.962,7.6,1260,1.1,4
EC 14 flat 1.5W 24V,24,0.199,4.78,9590,1.81,64.1,1.71,10.1,942,1.1,4
EC 60 flat 100W 12V,12,8.79,105,3210,263,0.106,0.0911,30,318,835,7
EC 60 flat 100W 24V,24,5.18,124,3730,272,0.288,0.279,52.5,182,835,7
EC 60 flat 100W 48V,48,2.63,126,3460,301,1.09,1.28,113,84.8,835,7
EC 60 flat 150W Open 12V,12,12.1,145,2990,381,0.106,0.0911,30,318,810,7
EC 60 flat 150W Open 24V,24,7.29,175,3480,405,0.288,0.279,52.5,182,810,7
EC 60 flat 150W Open 48V,48,3.66,176,3230,441,1.09,1.28,113,84.8,810,7
EC 60 flat 200W Ventilated 12V,12,15.2,182,2790,496,0.106,0.0911,30,318,832,7
EC 60 flat 200W Ventilated 24V,24,9.34,224,3240,540,0.288,0.279,52.5,182,832,7
EC 60 flat 200W Ventilated 48V,48,4.63,222,3020,581,1.09,1.28,113,84.8,832,7
EC 90 flat 160W 12V,12,12.9,155,2700,462,0.0569,0.058,35.6,268,3170,11
EC 90 flat 160W 24V,24,6.44,155,2720,462,0.213,0.232,71.2,134,3170,11
EC 90 flat 160W 36V,36,4.12,148,2630,457,0.514,0.554,110,86.8,3170,11
EC 90 flat 160W 60V,60,2.11,127,2200,464,2,2.15,217,44.1,3170,11
EC 90 flat 220W Open 24V,24,9.5,228,2490,735,0.213,0.232,71.2,134,2875,11
EC 90 flat 220W Open 36V,36,6.04,217,2420,721,0.514,0.554,110,86.8,2875,11
EC 90 flat 220W Open 60V,60,2.98,179,2020,697,2,2.15,217,44.1,2875,11
EC 90 flat 360W Ventilated 12V,12,24.1,289,2310,958,0.0569,0.058,35.1,272,3210,11
EC 90 flat 360W Ventilated 24V,24,12,288,2340,961,0.213,0.232,70.1,136,3210,11
EC 90 flat 360W Ventilated 36V,36,7.66,276,2270,941,0.514,0.554,108,88.1,3210,11
EC 90 flat 360W Ventilated 60V,60,3.75,225,1890,901,2,2.15,214,44.7,3210,11
EC 90 flat 260W 18V,18,12.2,220,1790,1020,0.0968,0.133,80.7,118,5060,11
EC 90 flat 260W 30V,30,7.11,213,1780,997,0.275,0.369,136,70.2,5060,11
EC 90 flat 260W 48V,48,4.09,196,1670,972,0.831,1.07,231,41.3,5060,11
EC 90 flat 260W 60V,60,3.31,199,1690,972,1.26,1.63,286,33.4,5060,11
EC 90 flat 400W Open 18V,18,15,270,1700,1310,0.0968,0.133,81.6,117,4765,11
EC 90 flat 400W Open 30V,30,8.78,263,1700,1270,0.275,0.369,136,70.2,4765,11
EC 90 flat 400W Open 48V,48,5,240,1600,1220,0.831,1.07,231,41.3,4765,11
EC 90 flat 400W Open 60V,60,4.05,243,1620,1230,1.26,1.63,286,33.4,4765,11
EC 90 flat 600W Ventilated 18V,18,18.1,326,1620,1620,0.0968,0.133,81.6,117,5100,11
EC 90 flat 600W Ventilated 30V,30,10.6,318,1620,1570,0.275,0.369,136,70.2,5100,11
EC 90 flat 600W Ventilated 48V,48,5.99,288,1520,1500,0.831,1.07,231,41.3,5100,11
EC 90 flat 600W Ventilated 60V,60,4.86,292,1540,1510,1.26,1.63,286,33.4,5060,11
EC frameless 45 flat 30W 12V,12,2.02,24.2,2910,54.9,1.24,0.56,25.5,374,150,8
EC frameless 45 flat 30W 18V,18,1.63,29.3,3510,57.8,2.09,0.697,34.3,278,150,8
EC frameless 45 flat 30W 24V,24,1.01,24.2,2930,54.7,4.87,2.24,51,187,150,8
EC frameless 45 flat 30W 36V,36,0.847,30.5,3290,66,6.73,4.29,70.6,135,150,8
EC frameless 45 flat 50W 18V,18,3.52,63.4,5190,97.1,0.464,0.322,25.1,380,185,8
EC frameless 45 flat 50W 24V Config1,24,2.33,54.5,5240,83.4,1.03,0.572,33.5,285,185,8
EC frameless 45 flat 50W 24V Config2,24,1.41,33.8,3480,69.6,2.83,1.15,47.5,201,185,8
EC frameless 45 flat 50W 36V,36,0.828,29.8,2360,90.5,7.48,5.15,101,95,185,8
EC frameless 45 flat 70W 24V,24,3.21,77.0,4860,128,0.608,0.463,36.9,259,240,8
EC frameless 45 flat 70W 30V,30,2.36,70.8,4990,112,1.16,0.691,45.1,212,240,8
EC frameless 45 flat 70W 36V,36,1.93,69.5,5080,108,1.74,0.966,53.3,179,240,8
