t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,T_ass_target,S_pct_target,iq_ref
6.99,0.0540145392289219,0.102875657120741,16.9229897666337,-1.58234549691146,0.0997922096569315,0.0595187883606851,-2.49855709724789,16.8121566833342,0.0543045771336429,2060.70903761255,2049.84748351617,1999.73601449021,0.28,7.9979216863333,1,0,0.102835926622536
7,0.122401067741826,0.0443076100815985,16.8057294990601,-1.23034743409207,-0.106776741370424,-0.074457458980251,-8.68491641220909,-14.440170557064,2.52703435046912,2055.8993131799,2041.97369605654,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.01,0.0736196495708893,-0.0339449855602595,17.1573179961158,-1.3474888481256,0.0612217030942516,0.0531414896090247,16.0996194648109,6.08206709137139,-1.28796957522786,2060.74871173545,2055.76808338887,1999.73601449021,0.28,7.9979216863333,1,0,0.151689098414716
7.02,0.141942404665483,0.0833026381087323,16.8643831421802,-1.58215367684325,-0.0993363455544285,0.131222201665668,-16.1890559260983,4.98247902605348,1.1786854488008,2047.97974788623,2039.81908599978,1999.73601449021,0.28,7.9979216863333,1,0,0.151689098414716
7.03,0.151681106843825,-0.00456912718223764,16.8058730117672,-1.23034866370739,0.102064652314481,-0.112298004632759,11.8587691738127,-11.9716631761908,-2.43401091663986,2048.00416273107,2045.0621739283,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.04,0.219995506597813,-0.190099036539909,16.4543339218436,-0.0567391126281453,-0.187861968835067,0.221908871571288,0.109854205207984,16.4540650354869,-0.0101245821752468,2055.92525395254,2049.9451428955,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.05,0.171294481583402,-0.131555111995721,16.6881804317852,-0.760925145595607,-0.00519648433589842,-0.215920224767575,-9.88810830353063,-13.4647572343012,2.46260519115038,2049.85206129955,2055.82912050098,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.06,0.14191846405628,0.044131863728834,16.571209373365,-1.34710302200557,0.147907902246648,-0.0145507487529021,15.9573668816998,4.66713068711699,-1.36737084393788,2055.8504834902,2049.68878702473,1999.73601449021,0.28,7.9979216863333,1,0,0.102835926622536
7.07,0.102795741411832,0.0929527736741288,16.5714023614467,-1.34690928920012,-0.0491716113287302,0.129573667176083,-15.3659310084126,6.3493074506592,1.09785600254152,2062.80413648505,2047.89425928503,1999.73601449021,0.28,7.9979216863333,1,0,0.073524023547229
7.08,0.0637453407788899,0.0440994427332739,16.7472677521511,-1.1121485504515,0.00166179644086628,-0.0774949530807732,10.7219672681435,-12.9130658428342,-2.51494621293661,2060.71819317941,2052.74064262921,1999.73601449021,0.28,7.9979216863333,1,0,0.0832946579056646
