,Unnamed: 0.1,Unnamed: 0,t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf,omega_meta
1069,1069,1069,10.69,0.0640953613944926,0.0052761425549079,2.60981772707414,-0.0563644214307806,-0.064303696982999,-0.0010428743303818,-2.59167185938985,-0.31234994765553,1.66914475393527,250.717567549009,250.751748331811,249.802010867657,264.425921419312,203.23753
1070,1070,1070,10.7,0.15193336427645,0.0050807298658327,2.31713468580111,-0.173205604196326,0.0495045032113713,-0.143731921152281,0.98915875953659,-2.10254091087419,-2.77646723866666,250.717567549009,252.902696161847,249.802010867657,262.896119569444,201.17953
1071,1071,1071,10.71,0.0931629986089675,-0.0340995139128655,2.55233688931705,0.0622381862192023,0.0483349214904077,0.0866363464339553,1.97449938815809,1.61853308726014,-0.859767246314586,250.717567549009,250.717567549009,249.802010867657,261.642997803316,191.0749
1072,1072,1072,10.72,-0.0333667163253193,-0.0144116856786916,2.84355358265916,0.061651044589528,0.0213942963464904,-0.0293822825232193,-2.41670926025901,1.49970469764253,1.0370762927478,252.853866472162,255.905722076665,249.802010867657,260.228997711973,221.96196
1073,1073,1073,10.73,0.180610176109165,-0.179388846802133,2.08545171729871,0.760936716261255,0.13351463918637,-0.216735403647203,-1.21612206323323,-1.85719699511278,2.91170711212335,250.717567549009,257.736835439367,249.802010867657,258.242247550953,207.92067
1074,1074,1074,10.74,0.073572876719923,0.0049830235200976,2.49397624281241,-0.0551901381705976,0.0737383773542957,0.0006711314344672,2.48240834529452,0.246195569164274,-1.49406925169208,252.853866472162,255.935019890412,249.802010867657,240.713747038822,176.77911
1075,1075,1075,10.75,0.112069176080383,-0.0237426414821019,2.14498544215144,0.176730802447072,-0.0578377233465756,0.0988838258259078,-0.50797876271637,2.09144780001901,0.320476774537944,252.853866472162,250.717567549009,249.802010867657,257.640512267,182.20284
1076,1076,1076,10.76,0.0733774640286263,0.0145582451865423,2.02591799246005,-0.171444179291659,-0.0614793032368844,-0.0426203003707276,-1.28527687057106,-1.57537303035231,2.37283389586031,255.905722076665,257.707537625654,249.802010867657,251.281551628927,177.6981
1077,1077,1077,10.77,0.150712034955629,-0.0338552480496559,1.97136985059804,0.0610639029535958,0.14235202309127,-0.0599682984817228,1.56936665715888,-1.1946196815258,-2.19046869442654,252.853866472162,252.902696161658,249.802010867657,257.798938633183,136.89511
1078,1078,1078,10.78,0.0344903392865276,0.05408046117644,2.55263015889769,-0.29122107022623,0.0618154914590136,0.0171208878518856,0.469896510622921,2.5258518779141,-0.297527721585008,252.853866472162,250.717567549009,249.802010867657,254.215925369958,152.00075
1079,1079,1079,10.79,0.0635579764962123,-0.004836464012837,1.96726407637769,-0.0546029965269475,-0.0630292610073398,-0.0095036844070695,-1.95790195365423,-0.199322285038159,1.64450213454309,255.905722076665,252.853866472162,249.802010867657,261.060475493994,158.3103
1080,1080,1080,10.8,0.0540316080035898,0.0148513642233832,2.31830776413618,-0.172618462557057,-0.0003144859273242,-0.0560346212742684,0.768576691527841,-2.19400043120091,-2.87896482696129,252.853866472162,255.935019890311,249.802010867657,262.471795262438,161.41783
1081,1081,1081,10.81,0.0541293143503142,-0.0433816165407684,2.49338970362946,0.294746268454448,0.0153578383582442,0.0676467599127072,2.13486002866283,1.32145383383263,-0.898866541835287,252.853866472162,250.751748331576,249.802010867657,266.38358536035,148.32362
1082,1082,1082,10.82,0.0538850484835465,0.005080729864774,2.37754821940378,-0.0557772798034009,-0.0388991213117251,0.0376333711911206,-1.89123897252399,1.44189520747479,0.895945753317013,252.853866472162,247.970897504955,249.802010867657,264.118857453049,179.86752
1083,1083,1083,10.83,0.0831969515586798,-0.0244754390780833,2.25994711763946,0.0628253278743251,-0.0123799598685266,-0.0858342382757368,-0.997910285714926,-2.0286653390872,2.71223443490701,252.853866472162,250.717567549009,249.802010867657,267.641584121149,184.86627
1084,1084,1084,10.84,-0.0239869073428123,-0.0534453699388566,2.49338970362477,0.296507693375386,-0.0259366593069452,0.0525268407175737,2.50260921348941,-0.204587758506516,-1.53400305822805,255.905722076665,252.853866472162,249.802010867657,261.7906133057,169.43135
1085,1085,1085,10.85,0.0446029458612497,-0.0145582451996894,2.43444251794416,0.062825327878497,-0.0209506264783772,0.0419813831711078,-0.295369086563191,2.41727418753028,0.147389372090773,250.71970384749,244.919041900452,249.802010867657,263.954591872001,181.45316
1086,1086,1086,10.86,0.005422702080696,-0.102151982209603,2.5517503501168,0.412761734477256,0.0393710502026038,-0.0944158544586187,-2.4786466161531,-0.733561893096071,2.01890304737769,252.853866472162,252.819685689689,249.802010867657,257.961350881928,187.00414
1087,1087,1087,10.87,0.073524023547229,0.0051784362120365,2.61157734457299,-0.173792745843105,0.0442865768613541,-0.0589177167758475,1.84320923260695,-1.85825721309701,-2.42670894522424,250.717567549009,252.853866472162,249.802010867657,254.292760435337,179.09445
1088,1088,1088,10.88,0.112557707807039,0.0731820513297012,2.37725494981682,-0.406300828039118,0.125830685733961,0.0468133394591636,1.08977432820158,2.1514677252719,-0.638130938248332,250.717567549009,247.970897504955,249.802010867657,263.089081317881,177.91084
1089,1089,1089,10.89,0.0832458047316453,-0.0339529543955646,2.43590886590471,0.179079368982457,-0.0892868733936291,-0.0105129138299784,-2.29983963478317,0.822471323310882,1.30073268486419,250.717567549009,247.970897504955,249.802010867657,263.216125410891,198.39023
1090,1090,1090,10.9,0.15188451111114,0.0435770292085429,2.55057727173101,-0.287698220340383,-0.0523192171585793,-0.149099167355239,0.139173080122791,-2.56297591460141,3.08351820361221,250.714820879036,250.717567549009,249.802010867657,260.858472470095,204.32242
1091,1091,1091,10.91,0.141771904540333,0.0053249957261092,2.31889430329934,-0.0569515630519025,0.139798823589732,0.02416438328208,2.2567757581287,0.536169234412779,-1.36209378899071,250.717567549009,247.970897504955,249.802010867657,262.891595923773,168.73582
1092,1092,1092,10.92,0.0929675859199618,-0.0339041012234954,2.25994711763092,0.179079368982457,-0.0824530144237731,0.0547170953541174,-1.19678272981904,1.9253938538622,0.635210149717016,252.853866472162,250.717567549009,249.802010867657,257.821637290619,192.46161
1093,1093,1093,10.93,0.112899680013907,-0.0431373506881286,2.6104042662425,0.0593024780841808,-0.0466069153747038,-0.111512170685035,-1.84293103317106,-1.84968441202791,2.38073720604968,247.970897504955,252.853866472162,249.802010867657,258.243791320491,196.12566
1094,1094,1094,10.94,0.0443586799886504,0.0146559515354016,2.84531320017301,-0.289459645334495,0.0315858684449759,-0.0344212480935861,2.62542196863927,-1.13435161213013,-2.08001870704606,250.717567549009,252.853866472162,249.802010867657,256.370957140222,181.86249
1095,1095,1095,10.95,0.0830503920439302,0.0147048047072278,2.55409650682069,-0.0551901381747695,0.0281902139837985,0.079491576507677,0.366472055303796,2.52827078260752,-0.165552258883421,250.717567549009,250.717567549009,249.802010867657,259.475005222486,185.10516
1096,1096,1096,10.96,0.122132929477239,0.0341483670788845,2.26112019597026,-0.288872503700232,-0.12527940824396,0.019688405392248,-2.2120745029946,-0.550307420647608,1.68755308517118,250.717567549009,255.905722076665,249.802010867657,258.760433488599,194.11493
1097,1097,1097,10.97,0.112655414153492,0.0051295830381796,2.20070666237665,-0.0563644214341181,0.0454359846084549,-0.103213982884591,1.02786722060092,-1.94673463488137,-2.68140661617967,252.853866472162,257.736835439367,249.802010867657,261.026526658656,189.45433
