t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,T_ass_target,S_pct_target,iq_ref
2.42,-0.581097557021,0.151645412626859,14.6355645801439,-0.290404224708493,-0.535125268648485,-0.272601630223357,14.2336350581927,3.41873049880793,-1.35491453981305,1987.80325907658,1961.09341882603,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.502943403600478
2.43,0.415474292938512,0.171216658910357,16.6298632894524,-1.81707034394195,0.0197192608455011,0.448937838829486,-7.36417656813348,15.0207523491356,0.346997043730894,1952.6886084911,1926.79666554257,1999.73601449021,0.23,4.98932613502302,0.5,0,0.552285107110579
2.44,1.79315016477841,-0.0436657772921416,18.0961946655923,-2.28714704553243,-1.42988174294684,-1.08292770522258,-13.3515065033274,-12.4274123241528,2.19464124951051,1947.90940261452,1952.63977880149,1999.73601449021,0.23,4.98932613502302,0.5,0,1.90063264857471
2.45,1.53911088468481,-0.141460338640217,17.5097218120847,-2.16945389723974,1.52454211558133,-0.254253182049401,17.4863022082435,-2.35077077377212,-1.82770184690958,1997.88964184947,2021.55067835113,1999.73601449021,0.23,4.98932613502302,0.5,0,1.45118346808667
2.46,0.210262945715979,-0.0242572583111541,16.0436240356319,-2.28661522816771,-0.106152238195961,0.183113689406125,-8.49922065377488,13.7981784912662,0.410505786480557,2047.88971814575,2075.62955966301,1999.73601449021,0.23,4.98932613502302,0.5,0,0.0149002173966153
2.47,-1.05986956203131,-0.0535583189175521,14.4597520403838,0.179313818807955,0.149345265648083,1.05066073195596,-1.48839757781553,-14.3840625403726,3.05088439872308,2057.72127097579,2062.86032009146,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.18688780869098
2.48,-1.31386968061426,0.0930177253011393,14.16624764112,0.179348396430458,-1.00044972667332,-0.856741605886457,11.4905980052401,8.28739377360652,-0.933302393492797,2034.81709466397,2016.02681970711,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.31390605535064
2.49,-0.56159811248174,0.12234910194791,13.9905719830601,-0.0556422236844645,0.544840896140375,-0.183057752044174,-12.0381407250199,7.12898087771731,1.03215513219464,1992.65265763202,1958.88387536832,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.629961650260142
2.5,0.347135633043337,0.259120946410965,16.2776858065953,-1.58210819951182,-0.375959694880871,-0.215176951419976,-5.03332867862834,-15.5605823794,2.73185771597131,1947.85446921364,1925.00217444713,1999.73601449021,0.23,4.98932613502302,0.5,0,0.454578763526222
2.51,1.00177676616108,-0.0143946942537085,18.0959731895085,-1.46498524297304,0.999039010988793,-0.0753986138157978,18.1544546658396,-0.1618740977222,-1.66049283820455,1947.86972849169,1945.66323688958,1999.73601449021,0.23,4.98932613502302,0.5,0,1.20691760912577
2.52,1.52935138614069,-0.16090012139187,17.7442535593503,-1.8175780247654,-0.453114084747587,1.46952105720119,-5.20890840970871,17.0595837415188,0.194269255601673,1976.86235673445,1989.86631346523,1999.73601449021,0.23,4.98932613502302,0.5,0,1.54888981167102
2.53,0.786771768305918,-0.200010921453383,17.2164538571584,-1.70008257911234,-0.32009828599264,-0.74602363997961,-9.12842699202051,-14.6958628478499,2.48733371609904,2015.95052331696,2044.79971434628,1999.73601449021,0.23,4.98932613502302,0.5,0,0.718385891203987
2.54,-0.639712224357739,-0.0535228806279208,14.8702630101722,-0.995134990903038,-0.63780283352685,-0.0728283893036068,14.3872210859973,3.88881538060726,-1.37362967655269,2049.74677228115,2068.59198063904,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.805833068711985
2.55,-1.21620834286845,0.00510081269764537,14.1664678980648,0.179183101844333,1.03393825266545,-0.640437695039961,-11.9168843595303,7.66216591131195,1.01202869004412,2047.87445886788,2028.7896798451,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.26505288355846
2.56,-0.756979896919807,0.21999111279376,14.2836893071577,-0.290147943517501,-0.163614292281377,0.771132295660234,-0.763147870802351,-14.266238865932,3.06783987096936,2002.70020458364,1973.92339415689,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.766750531278243
