t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
49.7,0.222276005017058,0.939541059207704,0.0947935236706362,10.4151603253514,-0.048841030678969,-0.0514467609880569,-0.236105199688776,2.00033298914552,-10.221380434246,-2.95302365726644,1016.55137709238,1000
49.701,0.264456857603266,0.865178963875535,0.170924389023634,10.4345302801635,-0.16348310665439,0.110938032933139,-0.294695315784664,8.48557182125293,-6.07463741800019,-2.20776585039239,1016.80917298003,1000
49.702,0.413708390946251,0.433830442418471,0.0427815160215658,9.92322893661018,-0.052990647216727,0.415908346304309,0.00226678778335954,9.85914570609368,1.1271763318508,-1.46230259735017,1017.11687708338,1000
49.703,0.559607111681588,-0.171626991351937,0.21861627400372,9.10157263936197,-0.243582391559959,0.532401753006062,0.278391034517907,5.79426020697575,7.02314071800628,-0.71657065630509,1017.5472262671,1000
49.704,0.0421175118453824,-0.722879560182999,0.251691999826699,8.9087921471103,-0.332118214755708,0.250341962886902,0.0495141313035148,-0.594428991431465,8.89514104458904,0.0294644780303093,1017.84014822059,1000
49.705,-0.529069881418605,-1.01203144715963,0.0265151429031246,9.06555481555697,-0.139658691210044,0.38932603972432,-0.359225871869006,-6.44636158257635,6.37559495345983,0.775513080154434,1017.57690844141,1000
49.706,-0.478205046755765,-0.930014433920296,-0.209644472559623,8.99979004844246,0.124832937090516,0.467236534704891,-0.233068428266145,-8.98256622207805,0.570357996532906,1.52125510685738,1017.11089642269,1000
49.707,-0.368593815582342,-0.507738808866546,-0.111646525341186,9.23881210897274,0.0698401582953149,0.354459441746124,0.15061491182262,-7.13527870979154,-5.86926950873852,2.26670831748967,1016.78219642745,1000
49.708,-0.447230747823818,0.0955443838344761,-0.136790229448635,9.9574286544636,0.115702218320133,0.193476505668546,0.425786038317311,-1.40240299396068,-9.85885582887726,3.01191172859794,1016.39353816621,1000
49.709,-0.0423329522557572,0.652292521206367,-0.359635769296964,10.2376678333769,0.394474538555119,0.269255181772431,0.242139654937399,5.58669182225694,-8.58803396076512,-2.52633901389041,1016.14294489257,1000
49.71,0.309781027090636,0.952492325966192,-0.126408290142975,10.322894293464,0.213567359205796,0.329364637816882,0.058841107382119,10.0500592692307,-2.36729091915235,-1.78144362978754,1016.27104031356,1000
49.711,0.469073094461769,0.880324175123418,0.178346043176323,10.2008306048827,-0.0940569500199868,0.494504798791792,0.0854510563801303,8.73044877505598,5.27684147246085,-1.0363547943951,1016.6456187828,1000
49.712,0.404400781454893,0.467144995829275,0.03448429725181,9.91560174706756,0.016998953249922,0.14905260207526,0.377508252377181,2.86095533519637,9.49391286777334,-0.290977094000896,1017.02200212188,1000
49.713,0.565117844067824,-0.133752248215754,0.0278975647469354,9.09455904627019,0.0278985319029631,-0.223123496691629,0.519954187430754,-3.96905592169179,8.18280988809227,0.454682251412442,1017.44320259478,1000
49.714,0.156232618125747,-0.695676298169615,0.180430914639415,8.77377530431289,-0.140333947268177,-0.0803821480141524,0.224727960442559,-8.23035527329125,3.04303775571936,1.2006575288578,1017.80373221238,1000
49.715,-0.403289658802998,-1.00661611168012,0.102045834925974,8.87412209536122,-0.0951542590409963,0.337662709924928,0.242981060268762,-8.21949121365654,-3.34649988570368,1.94672211963071,1017.65620688654,1000
49.716,-0.556345314156134,-0.949236264271558,-0.146330212249077,8.99333597916839,0.163080556353549,0.373351826257895,0.437654033947183,-4.05126203956558,-8.03081335786358,2.69251114989599,1017.13583282861,1000
49.717,-0.328294707186258,-0.545164437125643,-0.0846265455945083,9.10830349849433,0.132009692613803,-0.0149349622639514,0.338697525659613,2.53365969896906,-8.74981072420701,-2.84524202388473,1016.72614863047,1000
49.718,-0.300123299430699,0.0531488395584797,-0.000362516816480848,9.6861092633563,0.0538004294302517,-0.258879107966558,0.151841146393361,8.3337478103359,-4.93682636737461,-2.10004689330751,1016.45588255358,1000
49.719,-0.152746165332941,0.61993876727546,-0.140134977055285,10.2312827164522,0.19951871859599,-0.179203393499893,0.104188994506742,10.0368260017624,1.99526378040349,-1.35506198452569,1016.17726573881,1000
49.72,0.196795362286612,0.941312681039266,-0.168355023419923,10.3606873893206,0.26446785283143,-0.025206874277824,0.257752676062507,6.15360260385963,8.33948208332984,-0.610183618016624,1016.19086332423,1000
49.721,0.437971682367607,0.899224460450587,0.0400524036974517,10.2022564287954,0.0792650696879696,-0.0191773471439991,0.439380949694425,-1.29270571028493,10.1203375011294,0.134814698415378,1016.48966486107,1000
49.722,0.272779798235665,0.504258711901881,0.287483812659001,10.036805716667,-0.207927851388082,-0.0271066072327495,0.39537449678852,-7.86879370649295,6.23400261390374,0.880089159571877,1016.88166072299,1000
49.723,0.383322789908178,-0.0912860444364286,0.0794365644255725,9.31165073137758,-0.0322272430909819,-0.387098779633491,0.0583186405619076,-9.2959030867461,-0.542276442588284,1.62560433855735,1017.17936310474,1000
49.724,0.319440005221711,-0.662641532733627,0.116241100506035,8.64731238229875,-0.0781601368641552,-0.305858018334897,-0.148340092365991,-5.96501531776819,-6.26104725288373,2.37136453040707,1017.52775550312,1000
49.725,-0.283128607632776,-0.994146015380567,0.185036981184109,8.74378617007112,-0.175153525039807,-0.178100349219885,0.287542620273165,-0.037432039991858,-8.74546020445139,3.11728341903274,1017.5298136162,1000
49.726,-0.674612524793211,-0.960651485776175,-0.110861724410113,9.07099276428122,0.103537265670964,-0.36229971827115,0.579768311213799,5.91313032931004,-6.87957261780254,-2.42018402144274,1017.01499790742,1000
49.727,-0.474357126832658,-0.574778821704635,-0.271874065285745,9.22109823665404,0.311900752889209,-0.443539122911761,0.319692410918053,9.13877315000565,-1.26836906396083,-1.67489340111765,1016.45792019474,1000
49.728,-0.135815282734263,0.0178260916668931,-0.119719871576744,9.47019334665984,0.198564615761585,-0.180446349022071,0.0147564832919238,7.70964455045962,5.50321459106595,-0.929898242175199,1016.23102842456,1000
49.729,-0.18029284456572,0.59345661418035,-0.12287711958959,10.1758617038251,0.214208303836983,-0.153944659424779,-0.154613512200008,2.08237019825097,9.96281993063423,-0.185000261486623,1016.12257599651,1000
49.73,0.168218041185301,0.934790862379094,-0.183096076393799,10.3288657440396,0.309101254180712,-0.244476244743662,0.0453083692827337,-5.22309943363006,8.91629090205919,0.559824596042246,1016.10409600069,1000
