t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r
14.572,0.112630251110517,0.112176653069243,-0.00464697385264224,9.06343700729146,-0.173134424267903,0.109644076425749,-0.0261790820303113,8.76848964587,-2.29988157179399,-1.84640777953975,1084.84463766082,-1.234475592031,1087.84155986444
14.573,0.0833124267222133,0.112606560980971,0.0246530829385022,9.2393631947878,-0.290562743775755,0.0856834681202928,0.0143902131879828,8.17557685943224,4.31395433086465,-1.11670152948961,1084.78970425993,-40.1810360745193,1087.84155986444
14.574,0.0735299468924724,0.131717921786045,0.132082672900165,9.2980882202069,-0.99477673676036,0.148521410775382,0.0281758072067522,1.98505948050993,9.13802846163151,-0.320489046757561,1079.99462873416,-189.830606754107,1087.84155986444
14.575,0.0637593129404827,0.0653248898200259,0.0833242766641112,9.47397884449861,-0.760489615326189,0.0444456312036792,0.0950408908583368,-5.05111882363533,8.05113769789979,0.480208932691509,1095.49073075155,-305.661039553538,1087.84155986444
14.576,0.0637533891887934,0.092448508732497,-0.131528966500564,9.12237540950165,0.295866898166193,-0.0825307168790678,-0.120635999739677,-8.97794678986212,1.64369759132124,1.42214176546422,1087.98438670672,-315.845386891376,1087.84155986444
14.577,0.132106357746017,0.140844767972874,0.0148113489284184,8.94630697894264,-0.290277906829599,-0.121198881643522,-0.0546104102013316,-7.54827506586692,-4.81084331013628,2.1057873027108,1077.05263993144,-200.684226026969,1087.84155986444
14.578,0.14191253908527,0.14191846405628,0.0149002173966153,9.1220553260154,-0.290633928589255,-0.0478863669729393,-0.134417562417371,-1.86477574087904,-8.93414645545741,2.90397254494479,1076.85487968822,-31.7917902035951,1087.84155986444
14.579,0.132153755075229,0.113251422848715,0.00513550841556589,9.23939872139601,-0.173276818317368,0.0797270854481019,-0.10552052062571,5.98597937295276,-7.04021054623258,-2.45570206691257,1084.64687741759,-0.734581644158822,1087.84155986444
14.58,0.044265452526567,0.122152695249264,0.0148942916127659,9.4739432349365,-0.290562709583137,0.0394483905133445,-0.0250018938469577,9.27084437565455,-1.97268134005309,-1.81111287245986,1081.79278205632,-59.0039658861257,1087.84155986444
14.581,0.141859202153153,0.0937107996391178,0.0539590500691069,9.06375714201411,-0.525348129592719,0.148582300416699,0.0309663094793582,7.35293358344471,5.32560343098594,-1.00185501898917,1087.73169306266,-215.929160327375,1087.84155986444
14.582,0.10285963300957,0.0930652922641002,0.0149239237836497,9.1221264524257,-0.408133481758247,0.0339717920797459,0.0982280252619087,1.31192937942989,9.03651510574544,-0.188884818718387,1087.84155986444,-309.199971312691,1087.84155986444
14.583,-0.00457585428557851,0.0739539314590265,0.0149002173966153,9.64972705250016,-0.408062252982184,0.0148384412185989,0.00477237709233346,-5.85581494922293,7.68070167826609,0.609131680474308,1092.63663539021,-306.348622621288,1087.84155986444
14.584,0.141829552913085,0.12135025178812,-0.0241586103989436,8.82939060796424,-0.173348081285424,-0.143597589889835,-0.00888778452507947,-8.79748377644195,0.769718954250865,1.46389492875115,1081.93560889863,-177.772114890432,1087.84155986444
14.585,0.14191846405628,0.112830837019145,0.0637000388448635,9.06336577352849,-0.525276847086858,-0.152788064006544,-0.0292293155250531,-7.12268439354664,-5.62919904966775,2.18171553293725,1084.73477085905,-10.6891242545304,1087.84155986444
14.586,0.15168317019226,0.112606560980971,-0.0338936721710099,8.94627145721523,-0.0560622730613762,0.0170593796999404,-0.15448476525879,-0.92511132972629,-8.89848779244298,3.03173556786711,1084.78970425993,-0.292367766889086,1087.84155986444
14.587,0.141924392685199,0.093495200175863,0.00510586852250474,8.94620028200803,-0.173134350996755,0.100057844349336,-0.100782096210566,6.64564369897483,-5.9916520940031,-2.32384012225981,1089.88447200608,-73.6440224065776,1087.84155986444
14.588,0.024742000178594,0.112176653069142,0.00512958303817967,9.41514687084178,-0.173205604196326,0.0239947482075488,-0.00792030639807977,9.37337817994667,-0.902647371095963,-1.68519375071629,1084.88309104143,-239.54777603677,1087.84155986444
14.589,0.102788491088468,0.112606560980971,0.0148942879548568,9.18095832605017,-0.290562665620573,0.0884997614348565,0.0543608861213624,6.86703477253068,6.10067667395814,-0.876064755569671,1084.78970425993,-314.480291879199,1087.84155986444
14.59,0.112600631132819,0.112606560980971,-0.0632174186856524,9.1221976276329,0.0614372410307542,-0.0549410664140543,0.116862412169494,0.718467789899835,9.09406774370266,-0.0721054334386598,1084.78970425993,-295.69520507711,1087.84155986444
14.591,0.102841856877134,0.112606560980971,-0.00467663284784536,9.18078034655476,-0.173063058720741,-0.0715294811995799,0.0740395282268156,-6.20217663295666,6.77123944397082,0.722714152237019,1084.78970425993,-157.224581475947,1087.84155986444
14.592,0.0930712229251617,0.122171806629132,0.0246530597718664,9.18081594635748,-0.407919697736445,-0.089467171046662,0.0355759918738423,-9.16394762681458,0.68981433276833,1.45126067741445,1081.79278205632,1.39897060851257,1087.84155986444
14.593,0.0930652922641002,0.0649844891180791,-0.131564400900635,9.29805256916746,0.296079998332712,0.0185052365766661,-0.16008715260066,-7.12167782512466,-5.98524434752183,2.30153842898076,1095.52369079206,-2.13385743865492,1087.84155986444
14.594,0.200477023993789,0.0637533891887934,-0.219541623940576,8.47746745302269,0.883292878379079,0.253402724981848,-0.155488329991821,0.730919171905987,-8.49196195765116,-2.95191397554665,1095.77638443615,-92.2130378316599,1087.84155986444
14.595,-0.0142811843106722,0.111484060530257,-0.0731244700347748,9.41486185770972,0.296864154760671,0.036850522138694,0.0647547632324271,6.9448109639441,-6.36375304370157,-2.28104075215847,1084.98746450315,-262.652154075316,1087.84155986444
14.596,0.0637059308947261,0.131717491447831,0.0246115288874669,9.29819500253607,-0.0555633883195006,0.0628725953147404,-0.0266685159641687,9.29509068798526,-0.246590140593742,-1.60329482546002,1079.99462873415,-317.965474410913,1087.84155986444
14.597,0.122341599180077,0.113036468892835,0.0149061500898369,9.12226887359603,-0.17313430214995,0.0953169238747489,0.0781303028503971,6.17867171675938,6.71340306441358,-0.762921424451505,1084.70181081852,-282.897278696999,1087.84155986444
14.598,0.0930830915631028,0.112606560980971,-0.043687990155995,9.18078032947558,0.0615084307270384,-0.0405698976993332,0.0944837860136909,0.366630806225129,9.17366298689149,-0.0332447318222432,1084.78970425993,-131.1623635444,1087.84155986444
14.599,0.151653497378347,0.122161810614075,0.0148646163602468,8.88772446252824,-0.290419993142792,-0.09408331210119,0.119866886464493,-6.3532024425226,6.22196179822449,0.763169372899511,1081.79278205632,-2.72850939699239,1087.84155986444
14.6,0.141924397968805,0.0937101541318961,0.0734884200720811,9.00478295457229,-0.642704951666345,-0.13912193652426,0.0786649184912695,-9.02234283695096,-0.310669352160482,1.53396316064301,1089.8295386052,-4.93025319328026,1087.84155986444
14.601,0.0833302638190716,0.0930652922641002,-0.0534170769667206,9.1807090737543,-0.173490890534721,-0.0142436017666031,-0.0979511959525714,-5.88412411551932,-7.04929794938311,2.42714700046719,1089.97785878759,-109.98466984443,1087.84155986444
14.602,0.141882855704094,0.121732977689411,-0.0925530216447207,8.82910620967985,0.178865389573432,0.12152771689819,-0.118016187804174,1.76997471419559,-8.65172230255357,-2.91954072022498,1081.88943452469,-281.658962123788,1087.84155986444
14.603,0.102859667149846,0.122377195339407,0.0441290286263349,9.23922045887697,-0.525062589246597,0.0400724605518479,-0.104506842833384,6.8176166913953,-6.25771428395107,-2.37016804359968,1081.73784865543,-323.447475964105,1087.84155986444
14.604,0.298129903027166,0.0937101541317965,0.0930356145730793,8.24295902481049,-0.877561541837536,0.298003081172577,-0.0934410416767081,8.24414504959819,0.866348743637674,-1.57215651672522,1087.72683303908,-273.150564450612,1087.84155986444
14.605,0.054131153447043,0.0930652922641002,-0.0924639775974975,9.29748236724019,-0.0562766676704402,-0.0421938469061303,0.0984857766884126,5.480199767043,7.51090912911135,-0.636390476758162,1087.84155986444,-115.505654215954,1087.84155986444
14.606,0.132100338889352,0.112176222730855,-0.0632826665240553,8.94641410040973,-0.0557772798034009,-0.0800235943479387,0.122684227856367,-1.22591372529299,8.86219904420401,0.131223789189308,1084.84768951641,-2.49702825564124,1087.84155986444
14.607,0.0833243416932004,0.112606560980971,0.0246174209374865,9.23929166824378,-0.525205173803215,-0.0496238399125548,0.0713192669939319,-7.53801520716923,5.36830305980894,0.895169535327748,1084.78970425993,-12.9923596794453,1087.84155986444
14.608,0.0930593551001298,0.0934760696846149,0.00514145736612053,9.23946986244484,-0.408133608760234,-0.092997338966043,-0.00616223179818638,-9.12210488801666,-1.5236727974367,1.69215516797676,1087.78357460795,-133.67493770374,1087.84155986444
14.609,0.132124079416108,0.12173297768926,-0.0827526880538394,8.9463785006094,0.17872256566682,-0.00594238487257678,-0.155786609834466,-5.18208560731924,-7.29490361759903,2.54391479020182,1081.85381916843,-299.688558134346,1087.84155986444
14.61,0.132147829697843,0.122377195339407,0.0538996231547717,9.12205509179044,-0.525062384090886,-0.0243536171305113,-0.140624036361985,2.46612666562587,-8.79805653959646,-2.92579868964592,1081.73784865543,-325.602474444395,1087.84155986444
14.611,0.112618437747518,0.0554889387053989,0.0246886669048712,9.18078029775766,-0.525490577375109,0.0760614404884356,-0.0866435229261572,7.70522964744072,-5.01919349126987,-2.20533146103361,1097.60853563725,-252.569379684829,1087.84155986444
14.612,0.112606560980971,0.0539827548303577,-0.0925054950701703,8.82910635606991,0.178651117083569,0.0795379919497896,0.122111473788231,8.47337835486985,2.48734688446393,-1.26503728949435,1097.9126833593,-89.6028544757939,1087.84155986444
14.613,-0.00456978096668935,0.111316837245475,0.0245995814014843,9.29783855069647,-0.172991463591653,0.0199956348396219,-0.0150398434357632,3.98289266719145,8.40335015115552,-0.461206825685183,1085.03121537763,0.191723868866951,1087.84155986444
14.614,0.0832412014824765,0.13171792178608,0.0734943255343467,9.18088725819626,-0.407919482809332,0.0585058734345727,0.0943799570017518,-1.94064305391879,8.98270525451229,0.168369886153274,1079.99562310548,-22.5282696905696,1087.84155986444
14.615,0.0344711861583382,0.132147829697843,0.0149358574504373,9.59114375045593,-0.173348384137664,-0.0213671234923182,0.0308996528557623,-8.23337586307338,4.92256132532179,1.01386612308424,1079.90673529273,-156.423840376325,1087.84155986444
14.616,0.151617813429513,0.0938868471052687,0.0734883810546276,9.0052108060858,-0.525276392807873,-0.16458494295861,0.0360596734661826,-8.63371336248496,-2.61318398229715,1.80643851274391,1087.69873302215,-303.275265744601,1087.84155986444
14.617,0.0735715501217097,0.131288872831181,0.0344652494007269,9.23932720949062,-0.290776728068815,-0.068359619195954,-0.043904314901268,-4.67569877461276,-7.97418079546137,2.57980559937568,1080.04956213504,-325.678546568061,1087.84155986444
14.618,0.180935647979016,0.093925108087828,0.00514740672299962,8.94637861040095,-0.290633928589255,0.0545244330516579,-0.172601537380041,3.21091269549125,-8.35536941032652,-2.8071741952431,1089.79657856467,-234.021943236882,1087.84155986444
14.619,0.220059772384819,0.0739539314590612,0.00512958303817967,8.47725429825807,-0.290633928589255,0.189349424529679,-0.112247100071598,7.53333060515699,-3.89836356836907,-2.08260213099971,1092.67508877083,-68.6210724332893,1087.84155986444
14.62,0.0540837695304601,0.073524023547229,-0.0241644939135815,9.18038789965494,-0.173277018591128,0.0430105996007599,0.0407316242581432,8.60349034671012,3.2077251701741,-1.23279316980251,1092.72452883164,-1.50978518883239,1087.84155986444
14.621,0.0539827548303577,0.130856814947495,-0.0632410876805659,9.18081594635748,0.061508206031439,-0.0351309542300828,0.0753617213509575,3.86647504027549,8.32715650526803,-0.427999837261974,1080.13745557644,-38.388376092361,1087.84155986444
14.622,0.171159052883112,0.0939251080877647,-0.0339707829576834,8.88772474311163,-0.05570585563928,-0.0742622555603485,0.157906785407377,-2.19837382697545,8.61173076498217,0.243671080518465,1087.69873302215,-185.011726754341,1087.84155986444
14.623,0.102877529445449,0.0739348009677437,-0.0144235721995238,9.12201931875929,-0.173134175148171,-0.0994346217079229,0.0300762614963415,-8.35274075388031,3.67054952192298,1.13777906874979,1092.63663539022,-308.546263841815,1087.84155986444
14.624,0.249306286995882,0.073524023547229,0.210176200227104,8.30150672949536,-1.22941761833359,-0.309358942598988,0.103076207301263,-7.25828461900167,-4.21233736180871,1.94961408858768,1092.72452883164,-320.988679141562,1087.84155986444
14.625,0.112689778007768,0.121255815148542,-0.0142749719918114,8.88718953834298,-0.0564916679864868,-0.0297524443177807,-0.109624600112951,-3.33498489791508,-8.23791265610793,2.75056978467266,1081.93560889859,-206.46993388221,1087.84155986444
14.626,0.171194700253168,0.09371079963917,-0.0144116856786916,8.88754636592066,-0.0557772798034009,0.0889741012530794,-0.14696574902024,3.99877037436378,-7.93734382551508,-2.68119185229625,1087.73169306269,-37.5903158524542,1087.84155986444
14.627,0.0735834724090526,0.112176653069108,-0.0241763751509466,9.23925573662097,-0.0557772798034009,0.07721896278737,-0.00602132155393515,8.54833390951939,-3.50612963864524,-1.96606193254992,1084.84463766082,-0.856350682634942,1087.84155986444
14.628,0.141876847008246,0.112606560980971,0.102758637819045,8.88776050638223,-0.759918505330992,0.16759318459276,-0.0509990376525269,8.15677132803564,3.61065706702919,-1.23935930855077,1084.78970425993,-53.0284326124426,1087.84155986444
14.629,0.0930950207592976,0.131717921786045,0.0735418606443474,9.12201926020227,-0.760347226160967,0.106359302869885,0.0525622188481297,3.22502906355506,8.56671178615559,-0.443211254973108,1079.99462873416,-210.721779109124,1087.84155986444
14.63,0.08330060401115,0.0557787555517663,-0.0241228589822751,9.35663491479201,-0.290919781555684,-0.0521635478685553,0.0692810740957881,-3.59858858331219,8.6418407446597,0.363493976568224,1097.58857629409,-309.091020067445,1087.84155986444
14.631,0.268823726990237,0.0922429142219626,-0.0925351349630234,8.06717688342067,0.0614366402119774,-0.282728836739571,-0.029888999170855,-7.84790436880542,1.86909452603184,1.34460280625857,1088.02284008733,-308.141282603351,1087.84155986444
14.632,0.112701711674451,0.0930652922641002,0.0343641761750342,9.00428300071083,-0.407776360938477,-0.117014978038779,-0.0137864909648497,-8.0826079576012,-3.98934111366174,1.98403153188524,1087.84155986444,-179.902004917027,1087.84155986444
14.633,0.141900622081915,0.14084476797304,-0.141322880492165,8.88761777047359,0.413435672497747,0.0827613353055747,-0.182369143432422,-3.49605055118032,-8.18158354066762,2.78425396277686,1077.0526399314,-13.7217531690243,1087.84155986444
14.634,0.102859717547265,0.0941400620436733,0.0343344269522054,9.29787384551964,-0.407561873521918,0.0268360143593171,-0.105065706590428,5.37761380536481,-7.59590906266635,-2.5693489678305,1087.6437996212,-0.35645673466176,1087.84155986444
14.635,0.0637771817393754,0.121703695068775,0.0246767998926964,9.29812377853219,-0.408062252982184,0.0511396631796715,-0.0454005309818205,8.8549389936354,-2.86560220934625,-1.92763454110519,1081.84771545722,-71.5525857606746,1087.84155986444
