t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0.42,0.000826616704023965,0.000476661613704162,-0.0413782715346421,-0.0238559143598366,0.000362945498385263,-0.000882480614264343,-0.0181708654997366,0.0441710952108832,-2.22833407008809,-0.000482221442772791,0
0.43,0.000826616354778001,0.000476661613632463,-0.0413782110575146,-0.0238559144392135,0.000362945221753361,-0.000882480400860879,-0.0181708175712092,0.0441710583170149,-2.2283340703688,-0.000482190897664268,0
0.44,0.000826616121947358,0.000476661613600314,-0.0413781497095322,-0.023855914518157,0.000362945037376086,-0.000882480258582262,-0.0181707689604794,0.0441710208877603,-2.22833407049525,-0.000482177122481243,0
0.45,0.000826616063737606,0.000476661613585586,-0.0413780940736535,-0.0238559131412571,0.000362944991262089,-0.000882480223015128,-0.0181707257637265,0.0441709857960038,-2.22833407055192,-0.000482170910192844,0
0.46,0.000826616005529945,0.000476661613579336,-0.0413780370904009,-0.0238559132195482,0.000362944945172162,-0.000882480187444633,-0.0181706806125404,0.0441709510319877,-2.22833407057731,-0.000482168108592171,0
0.47,0.000826616005529945,0.000476661613576241,-0.0413779824091168,-0.0238559132976303,0.000362944945164052,-0.000882480187446297,-0.0181706372841101,0.0441709176744444,-2.22833407058865,-0.0004821668451371,0
0.48,0.000826616005529945,0.000476661613575276,-0.0413779274264405,-0.0238559133757124,0.000362944945160299,-0.000882480187447319,-0.0181705937174113,0.0441708841325827,-2.22833407059357,-0.000482166275349344,0
0.49,0.000826616005529945,0.000476661613574626,-0.0413778723356618,-0.0238559134537945,0.000362944945159155,-0.000882480187447438,-0.0181705500652897,0.0441708505245944,-2.22833407059532,-0.000482166018393937,0
0.5,0.000826616005529945,0.000476661613574439,-0.0413778171595322,-0.0238559135318765,0.000362944945158625,-0.000882480187447555,-0.0181705063456579,0.0441708168644236,-2.22833407059605,-0.000482165902501698,0
0.51,4.65532683405774,0.0958301242512438,7.23486325451331,-4.74196809739025,-3.36775891086417,3.21550171247149,-8.5378291000424,1.3910363067307,0.829104112837424,256.021612663204,3306.45
0.52,4.56833502668759,0.0497088923136288,11.5862827928595,-2.37953569629836,2.90519439361849,-3.52590434148793,9.28449743728181,-7.32818165871847,-2.44153263469237,561.280496236691,3306.45
0.53,4.43560800446498,0.0845594585806584,18.2249526705369,-4.05498522424209,-1.70908160707254,-4.09399666971965,-2.92803009521371,-18.4395890619519,2.76518685429774,858.605567203062,3306.45
0.54,4.40679417927239,0.0490161475505175,19.6683383649312,-2.21698911659621,2.88332704122941,-3.33296605060792,14.6930930085448,-13.2616587432637,-2.41727867561622,1154.07916510536,3306.45
0.55,4.34606778018722,0.170632503313515,22.7077412213918,-8.27580040612469,-3.11704642387038,3.03338790671509,-22.4170933063246,9.03351047130877,0.838240573846357,1447.04248717163,3306.45
0.56,4.30030046787599,0.158603496804074,24.9995424909567,-7.60013451643277,0.389620751963894,4.28554953919005,-6.24479865739688,25.3720645425948,-0.0538005041097003,1736.8500301017,3306.45
